CustomerID,Lookalikes
C0001,"[('C0107', 0.9999999817912563), ('C0011', 0.9999999510771859), ('C0152', 0.9999999510483463)]"
C0002,"[('C0029', 0.9999999951984097), ('C0166', 0.9999999503876248), ('C0027', 0.999999935578919)]"
C0003,"[('C0176', 0.9999993977077016), ('C0010', 0.9999993926084348), ('C0073', 0.9999992284922998)]"
C0004,"[('C0173', 0.999999784142184), ('C0175', 0.9999997612567816), ('C0145', 0.9999997254698658)]"
C0005,"[('C0131', 0.9999999941536909), ('C0159', 0.9999999811250108), ('C0112', 0.9999999750901759)]"
C0006,"[('C0196', 0.9999999405298154), ('C0168', 0.9999998289907774), ('C0040', 0.999999633057692)]"
C0007,"[('C0074', 0.9999999606486517), ('C0159', 0.9999999412960316), ('C0120', 0.9999999390182776)]"
C0008,"[('C0017', 0.9999956792487351), ('C0195', 0.9999938822447855), ('C0075', 0.9999936416323939)]"
C0009,"[('C0177', 0.9999998084809383), ('C0128', 0.9999997398624804), ('C0077', 0.9999993872666889)]"
C0010,"[('C0029', 0.9999998948656574), ('C0002', 0.9999998634555355), ('C0027', 0.9999998016751459)]"
C0011,"[('C0107', 0.999999972835646), ('C0001', 0.9999999510771859), ('C0037', 0.9999998886409064)]"
C0012,"[('C0087', 0.9999995923696845), ('C0143', 0.9999994600726253), ('C0156', 0.9999971072790739)]"
C0013,"[('C0141', 0.9999998387909647), ('C0156', 0.9999982148755353), ('C0087', 0.9999981238672302)]"
C0014,"[('C0020', 0.999997575022086), ('C0033', 0.9999922576962292), ('C0144', 0.9999908097000993)]"
C0015,"[('C0123', 0.9999999090653054), ('C0063', 0.9999996786553494), ('C0130', 0.9999996370138614)]"
C0016,"[('C0183', 0.9999996578356692), ('C0137', 0.9999996377155248), ('C0158', 0.9999996029458624)]"
C0017,"[('C0075', 0.9999995869542607), ('C0109', 0.9999992210084978), ('C0175', 0.9999986913863259)]"
C0018,"[('C0143', 0.9999975552316119), ('C0012', 0.9999959732361754), ('C0087', 0.9999938956827583)]"
C0019,"[('C0056', 0.9999997774516289), ('C0088', 0.9999997203159086), ('C0189', 0.9999997201786446)]"
C0020,"[('C0014', 0.999997575022086), ('C0085', 0.9999968177518914), ('C0058', 0.9999927071454359)]"
